epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5708,0.45088,0.53563,0.00152,0.95656,0.93254,0.97152,0.9379,0.26821,0.37822,0.00099,0.00011875,0.00011875,0.00011875
2,17.6102,0.42633,0.36144,0.00137,0.94702,0.96257,0.97429,0.93925,0.2888,0.42103,0.00107,0.000241337,0.000241337,0.000241337
3,21.6852,0.4329,0.36254,0.00137,0.93161,0.94888,0.96973,0.93101,0.30719,0.40129,0.00115,0.000361449,0.000361449,0.000361449
4,25.5518,0.44822,0.37543,0.00149,0.92546,0.95783,0.97248,0.93533,0.29856,0.29385,0.00111,0.000479086,0.000479086,0.000479086
5,29.4879,0.45936,0.40947,0.00151,0.91631,0.9452,0.96656,0.92199,0.32718,0.49563,0.0012,0.000594247,0.000594247,0.000594247
6,33.1561,0.45616,0.39467,0.00148,0.94887,0.94186,0.97033,0.93296,0.30018,0.28726,0.00114,0.000594062,0.000594062,0.000594062
7,36.9254,0.44021,0.35492,0.00132,0.95104,0.95922,0.97272,0.93684,0.28527,0.24096,0.00105,0.000587875,0.000587875,0.000587875
8,40.6445,0.43841,0.40554,0.00147,0.9385,0.94794,0.97262,0.92596,0.31951,0.28479,0.00119,0.000581687,0.000581687,0.000581687
9,44.3108,0.44737,0.36588,0.00144,0.92979,0.94724,0.97406,0.93862,0.29124,0.27613,0.00108,0.0005755,0.0005755,0.0005755
10,47.9646,0.45827,0.37182,0.00139,0.9516,0.94653,0.97588,0.93056,0.29997,0.27397,0.0011,0.000569313,0.000569313,0.000569313
11,51.5946,0.43752,0.36303,0.0014,0.9249,0.92538,0.9633,0.92488,0.31523,0.52462,0.00121,0.000563125,0.000563125,0.000563125
12,55.3092,0.47808,0.3773,0.00159,0.94936,0.94443,0.96246,0.92734,0.33122,0.22974,0.00125,0.000556938,0.000556938,0.000556938
13,58.9537,0.46314,0.38225,0.00154,0.94248,0.94274,0.97142,0.93007,0.33749,0.37335,0.00127,0.00055075,0.00055075,0.00055075
14,62.6254,0.43968,0.37505,0.00135,0.94251,0.93479,0.97392,0.94141,0.25265,0.30629,0.00094,0.000544563,0.000544563,0.000544563
15,66.2549,0.45002,0.34577,0.00144,0.9704,0.9393,0.97629,0.94355,0.30014,0.26466,0.00111,0.000538375,0.000538375,0.000538375
16,69.9364,0.41599,0.30486,0.00134,0.95379,0.96094,0.97602,0.94069,0.27764,0.22256,0.00104,0.000532187,0.000532187,0.000532187
17,73.5674,0.44011,0.33567,0.00143,0.96463,0.95411,0.97926,0.93248,0.31884,0.23746,0.00116,0.000526,0.000526,0.000526
18,77.1756,0.43112,0.33602,0.00136,0.95605,0.96153,0.98079,0.94703,0.27644,0.24016,0.00103,0.000519812,0.000519812,0.000519812
19,80.9098,0.44838,0.35223,0.00142,0.92062,0.96347,0.97251,0.93609,0.27686,0.20405,0.00103,0.000513625,0.000513625,0.000513625
20,84.5401,0.40404,0.30274,0.00133,0.93494,0.94285,0.97929,0.9473,0.28328,0.26289,0.00102,0.000507438,0.000507438,0.000507438
21,88.2531,0.42424,0.3177,0.00138,0.93224,0.96818,0.97461,0.94243,0.29384,0.19516,0.00108,0.00050125,0.00050125,0.00050125
22,91.9878,0.4166,0.28808,0.00131,0.93775,0.95814,0.97338,0.93531,0.27928,0.20044,0.00103,0.000495063,0.000495063,0.000495063
23,95.6146,0.40096,0.29982,0.0013,0.9614,0.95463,0.98089,0.94745,0.2659,0.20147,0.00097,0.000488875,0.000488875,0.000488875
24,99.2518,0.40435,0.28882,0.00126,0.96195,0.92974,0.97776,0.9473,0.25617,0.2519,0.00097,0.000482687,0.000482687,0.000482687
25,102.885,0.40011,0.30237,0.00124,0.94089,0.96336,0.9717,0.93769,0.27656,0.23721,0.00104,0.0004765,0.0004765,0.0004765
26,106.581,0.40769,0.2798,0.00128,0.94908,0.94931,0.97776,0.94352,0.28511,0.26307,0.00107,0.000470312,0.000470312,0.000470312
27,110.267,0.37883,0.27544,0.00124,0.95426,0.93846,0.97253,0.938,0.31282,0.27721,0.00116,0.000464125,0.000464125,0.000464125
28,113.994,0.44331,0.32734,0.00133,0.91066,0.94588,0.97045,0.93384,0.31146,0.62912,0.00115,0.000457938,0.000457938,0.000457938
29,117.711,0.39029,0.31411,0.00124,0.95494,0.93692,0.97537,0.94263,0.27722,0.29571,0.00102,0.00045175,0.00045175,0.00045175
30,121.433,0.4091,0.26843,0.00129,0.96105,0.94469,0.98003,0.94695,0.27375,0.26052,0.00102,0.000445562,0.000445562,0.000445562
31,125.159,0.38886,0.25489,0.00124,0.92712,0.95733,0.97684,0.949,0.26761,0.25847,0.00097,0.000439375,0.000439375,0.000439375
32,128.839,0.40031,0.26188,0.00125,0.9447,0.95753,0.97779,0.94683,0.28452,0.22457,0.00106,0.000433187,0.000433187,0.000433187
33,132.621,0.40801,0.25238,0.00124,0.96093,0.94229,0.97265,0.94356,0.27605,0.31355,0.00103,0.000427,0.000427,0.000427
34,136.311,0.41121,0.28104,0.00127,0.93035,0.94719,0.97438,0.94618,0.26046,0.27458,0.00094,0.000420812,0.000420812,0.000420812
35,139.981,0.37842,0.23047,0.00114,0.93866,0.93291,0.97413,0.93707,0.31488,0.26762,0.00116,0.000414625,0.000414625,0.000414625
36,143.617,0.38077,0.27511,0.00128,0.94911,0.94496,0.97395,0.9429,0.25908,0.36714,0.00094,0.000408438,0.000408438,0.000408438
37,147.275,0.36066,0.23165,0.00116,0.95814,0.96548,0.98148,0.95321,0.27105,0.2985,0.00099,0.00040225,0.00040225,0.00040225
38,151.025,0.40949,0.28093,0.00131,0.9555,0.97415,0.98292,0.94708,0.29316,0.32564,0.00113,0.000396063,0.000396063,0.000396063
39,154.673,0.36057,0.25636,0.00115,0.97369,0.97495,0.98236,0.95262,0.24757,0.21927,0.00092,0.000389875,0.000389875,0.000389875
40,158.399,0.39776,0.2771,0.00119,0.96286,0.96642,0.98207,0.95184,0.26762,0.25935,0.00097,0.000383688,0.000383688,0.000383688
41,162.018,0.3763,0.28787,0.00117,0.95942,0.95447,0.97998,0.95003,0.24931,0.19791,0.00094,0.0003775,0.0003775,0.0003775
42,165.65,0.3698,0.26346,0.00116,0.94871,0.94702,0.9766,0.95022,0.27739,0.27794,0.001,0.000371313,0.000371313,0.000371313
43,169.328,0.3784,0.2716,0.00115,0.95531,0.9676,0.97969,0.95242,0.25319,0.20431,0.00095,0.000365125,0.000365125,0.000365125
44,172.994,0.37239,0.26645,0.00119,0.95439,0.95625,0.97723,0.94301,0.31094,0.25364,0.00112,0.000358938,0.000358938,0.000358938
45,176.793,0.38383,0.25368,0.00122,0.95698,0.96181,0.97845,0.9483,0.26289,0.18493,0.00096,0.00035275,0.00035275,0.00035275
