epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.205,0.49813,0.5535,0.00172,0.90555,0.91956,0.9626,0.87984,0.36163,0.88904,0.00152,0.000203901,0.000203901,0.000203901
2,303.438,0.4886,0.46047,0.00176,0.92211,0.91804,0.96394,0.88312,0.35488,0.66632,0.00149,0.000402031,0.000402031,0.000402031
3,455.45,0.50388,0.45843,0.00183,0.92614,0.915,0.96044,0.86806,0.41139,0.62922,0.00168,0.000589849,0.000589849,0.000589849
4,614.15,0.51245,0.44375,0.00181,0.92595,0.91041,0.95695,0.86642,0.3894,0.77028,0.00164,0.000578594,0.000578594,0.000578594
5,776.393,0.51804,0.41917,0.00183,0.94962,0.9077,0.97293,0.89467,0.35028,0.60622,0.00144,0.000563125,0.000563125,0.000563125
6,934.797,0.49385,0.4139,0.00177,0.94437,0.91316,0.96809,0.88953,0.34297,0.4907,0.00143,0.000547656,0.000547656,0.000547656
7,1092.5,0.49644,0.40648,0.00176,0.93079,0.91548,0.96615,0.88357,0.35687,0.55553,0.0015,0.000532187,0.000532187,0.000532187
8,1252.17,0.50706,0.39941,0.00179,0.93496,0.92096,0.96957,0.88971,0.35734,0.49007,0.00149,0.000516719,0.000516719,0.000516719
9,1408.31,0.4838,0.38756,0.00174,0.92131,0.92696,0.96832,0.88755,0.36741,0.65323,0.00152,0.00050125,0.00050125,0.00050125
10,1566.66,0.48921,0.38777,0.0018,0.94286,0.92816,0.97437,0.89569,0.35922,0.48471,0.00147,0.000485781,0.000485781,0.000485781
11,1727.8,0.486,0.37923,0.00173,0.95158,0.93434,0.97774,0.90132,0.33419,0.46827,0.00139,0.000470312,0.000470312,0.000470312
12,1888.49,0.48081,0.36223,0.00164,0.94361,0.92392,0.97528,0.89844,0.34929,0.53773,0.00146,0.000454844,0.000454844,0.000454844
13,2045.16,0.48677,0.36857,0.00174,0.93114,0.94189,0.97723,0.89255,0.37143,0.39919,0.00154,0.000439375,0.000439375,0.000439375
14,2204.49,0.4857,0.35718,0.00176,0.94873,0.94505,0.97854,0.8854,0.37966,0.32972,0.00158,0.000423906,0.000423906,0.000423906
15,2366.23,0.48897,0.35772,0.00178,0.95653,0.92983,0.9778,0.90207,0.33288,0.61802,0.00138,0.000408438,0.000408438,0.000408438
16,2527.98,0.46881,0.3415,0.00168,0.94473,0.93668,0.97636,0.8982,0.3522,0.49413,0.00145,0.000392969,0.000392969,0.000392969
17,2687.72,0.47628,0.33396,0.0017,0.94397,0.94299,0.97765,0.90029,0.35335,0.57518,0.00145,0.0003775,0.0003775,0.0003775
18,2847.46,0.47802,0.33599,0.00169,0.94873,0.95551,0.981,0.90437,0.33642,0.37465,0.00139,0.000362031,0.000362031,0.000362031
19,3013.09,0.47375,0.32553,0.00167,0.96285,0.94765,0.98237,0.90833,0.3234,0.43556,0.00135,0.000346563,0.000346563,0.000346563
20,3175.05,0.4541,0.31438,0.0016,0.94937,0.9529,0.98096,0.90727,0.32503,0.48355,0.00135,0.000331094,0.000331094,0.000331094
21,3336.79,0.45493,0.32031,0.00163,0.96134,0.94124,0.98073,0.90301,0.34745,0.32762,0.00145,0.000315625,0.000315625,0.000315625
22,3493.56,0.46002,0.31145,0.00162,0.95854,0.94249,0.98069,0.90399,0.34396,0.31655,0.00141,0.000300156,0.000300156,0.000300156
23,3650,0.45252,0.30292,0.00163,0.95512,0.95048,0.98162,0.90716,0.34589,0.31038,0.00142,0.000284688,0.000284688,0.000284688
24,3808.47,0.45876,0.31725,0.00164,0.95842,0.95559,0.98285,0.90625,0.33405,0.27355,0.00139,0.000269219,0.000269219,0.000269219
25,3972.92,0.45793,0.31095,0.0016,0.96373,0.95217,0.98324,0.9089,0.3402,0.30505,0.00141,0.00025375,0.00025375,0.00025375
26,4154.54,0.45328,0.30542,0.00162,0.94929,0.94996,0.98192,0.91156,0.31443,0.28974,0.00131,0.000238281,0.000238281,0.000238281
27,4320.68,0.45312,0.29432,0.00157,0.95954,0.95154,0.98214,0.91175,0.33107,0.33466,0.00136,0.000222813,0.000222813,0.000222813
28,4491.86,0.44812,0.30082,0.00159,0.96397,0.94731,0.98316,0.91364,0.31555,0.25889,0.00132,0.000207344,0.000207344,0.000207344
29,4658.18,0.44471,0.29205,0.00158,0.93519,0.96992,0.98296,0.91585,0.30889,0.38699,0.00128,0.000191875,0.000191875,0.000191875
30,4821.73,0.44787,0.29622,0.0016,0.95148,0.95144,0.9821,0.91271,0.32243,0.29683,0.00133,0.000176406,0.000176406,0.000176406
31,4980,0.43666,0.28861,0.00172,0.94788,0.96206,0.98211,0.91266,0.31978,0.2672,0.00132,0.000160938,0.000160938,0.000160938
32,5137.51,0.42195,0.2724,0.0017,0.95871,0.94438,0.98207,0.91412,0.3177,0.39117,0.00131,0.000145469,0.000145469,0.000145469
33,5292.24,0.42551,0.26047,0.00174,0.96034,0.9539,0.98184,0.9123,0.32019,0.26702,0.00133,0.00013,0.00013,0.00013
34,5447.42,0.40643,0.24838,0.00163,0.95023,0.95351,0.98275,0.91403,0.31585,0.31476,0.00131,0.000114531,0.000114531,0.000114531
35,5602.12,0.40989,0.25928,0.00167,0.95094,0.95623,0.98318,0.91553,0.32215,0.3025,0.00132,9.90625e-05,9.90625e-05,9.90625e-05
36,5762.9,0.40443,0.23877,0.00159,0.95042,0.95602,0.983,0.91344,0.3207,0.30332,0.00131,8.35938e-05,8.35938e-05,8.35938e-05
37,5937.18,0.40134,0.24507,0.00163,0.95571,0.95317,0.9836,0.9141,0.31716,0.31176,0.00131,6.8125e-05,6.8125e-05,6.8125e-05
38,6089.47,0.40153,0.24344,0.00163,0.95525,0.96136,0.98457,0.91575,0.30977,0.28527,0.00128,5.26562e-05,5.26562e-05,5.26562e-05
39,6240.69,0.39165,0.23006,0.00157,0.961,0.95452,0.9846,0.91815,0.30944,0.30026,0.00128,3.71875e-05,3.71875e-05,3.71875e-05
40,6393.03,0.40033,0.24691,0.0016,0.9578,0.9557,0.98448,0.91809,0.30527,0.29212,0.00126,2.17188e-05,2.17188e-05,2.17188e-05
